graph,assortativity,clustering,density,target
graph_63.npz,-0.31651376146789084,0.03877777777777778,0.03535353535353535,-0.31666666666666665
graph_64.npz,-0.2117121074569765,0.05016450216450217,0.04080808080808081,-0.21111111111111103
graph_65.npz,-0.10536945469740214,0.041730158730158735,0.03878787878787879,-0.10555555555555551
graph_66.npz,0.00013603591348063178,0.04003174603174603,0.04040404040404041,0.0
graph_67.npz,0.10594246949473549,0.025619047619047618,0.03575757575757576,0.10555555555555562
graph_68.npz,0.21167050773361126,0.03833333333333333,0.04242424242424243,0.21111111111111125
graph_69.npz,0.30854259962587177,0.03195238095238095,0.04323232323232323,0.31666666666666665
graph_70.npz,0.41247002398081534,0.03223809523809524,0.04242424242424243,0.4222222222222223
graph_71.npz,0.5208124677047904,0.04592063492063492,0.04262626262626262,0.5277777777777779
graph_72.npz,0.6250759006881669,0.024214285714285712,0.04101010101010101,0.6333333333333333
graph_73.npz,0.7297750923128583,0.013476190476190475,0.03676767676767677,0.7388888888888889
graph_74.npz,0.8346783149478042,0.034,0.04101010101010101,0.8444444444444446
graph_75.npz,0.940798753657972,0.036000000000000004,0.0298989898989899,0.95
graph_76.npz,-0.9427287064287394,0.011,0.03616161616161616,-0.95
graph_77.npz,-0.8358744861320696,0.011142857142857144,0.03636363636363636,-0.8444444444444444
graph_78.npz,-0.7323437874072307,0.03496031746031746,0.040606060606060604,-0.7388888888888888
graph_79.npz,-0.630148041150422,0.004476190476190476,0.04080808080808081,-0.6333333333333333
graph_80.npz,-0.5187645231195018,0.010166666666666666,0.03898989898989899,-0.5277777777777777
graph_81.npz,-0.4161628883291362,0.019753968253968253,0.03696969696969697,-0.42222222222222217
graph_82.npz,-0.3083110884805095,0.0512063492063492,0.04464646464646465,-0.31666666666666665
graph_83.npz,-0.20945835378824904,0.020587301587301585,0.03838383838383838,-0.21111111111111103
graph_84.npz,-0.10559756681874151,0.0341984126984127,0.04323232323232323,-0.10555555555555551
graph_85.npz,-4.951720723045053e-05,0.025111111111111112,0.038181818181818185,0.0
graph_86.npz,0.10528766049201228,0.02815079365079365,0.040606060606060604,0.10555555555555562
graph_87.npz,0.21167042195821378,0.05584126984126984,0.04,0.21111111111111125
graph_88.npz,0.3113964686998394,0.03919047619047619,0.038181818181818185,0.31666666666666665
graph_89.npz,0.4183767199174256,0.03645238095238095,0.03737373737373737,0.4222222222222223
graph_90.npz,0.5234449192782524,0.043,0.043838383838383836,0.5277777777777779
graph_91.npz,0.6245001462986439,0.01980952380952381,0.04040404040404041,0.6333333333333333
graph_92.npz,0.7304063074061813,0.03197619047619048,0.03616161616161616,0.7388888888888889
graph_93.npz,0.8354962749339112,0.02914285714285714,0.044848484848484846,0.8444444444444446
graph_94.npz,0.9404220789125265,0.074,0.043838383838383836,0.95
